Symbol,Close,Percent Change,Volume
NABIL,917,-0.33,6221
NABIL,924,0.76,12676
NABIL,940,1.73,12880
NABIL,919,-2.34,11028
NABIL,917,-0.11,3949
NABIL,918,0.11,9218
NABIL,912,-0.65,5387
NABIL,920,0.88,5465
NABIL,920,0.11,10813
NABIL,900,-2.28,64608
NABIL,900,0,28537
NABIL,900,0,36821
NABIL,900,0,6188
NABIL,900,0,11306
NABIL,899,-0.11,20936
NABIL,897,-0.22,7248
NABIL,905,0.89,13263
NABIL,910,0.55,5574
NABIL,909,-0.11,5174
NABIL,906,-0.44,5144
NABIL,907,0.33,5960
NABIL,906,-0.22,5552
NABIL,905,-0.11,6414
NABIL,903,-0.22,6662
NABIL,904,0.11,2142
NABIL,904,0,2673
NABIL,909,0.55,3307
NABIL,900,-0.99,6359
NABIL,907,0.78,5383
NABIL,907,0,6383
NABIL,935,3.09,17869
NABIL,957,2.35,17494
NABIL,958,0.21,11046
NABIL,946,-1.15,9155
NABIL,940,-0.84,4925
NABIL,945,0.53,2174
NABIL,945,0,4749
NABIL,945,0,5990
NABIL,949,0.42,6091
NABIL,948,-0.21,3171
NABIL,947,0,5231
NABIL,950,0.32,7021
NABIL,964,1.47,7503
NABIL,966,0.21,8115
NABIL,970,0.41,10041
NABIL,965,-0.51,16518
NABIL,970,0.52,7541
NABIL,964,-0.62,7438
NABIL,966,0.21,6852
NABIL,965,-0.1,4296
NABIL,968,0.31,5373
NABIL,969,0.1,9770
NABIL,968,-0.1,1984
NABIL,968,0,5243
NABIL,962,-0.62,6516
NABIL,961,-0.1,3193
NABIL,964,0.31,4909
NABIL,966,0.1,9356
NABIL,961,-0.52,3070
NABIL,950,-1.14,7218
NABIL,945,-0.53,2593
NABIL,945,0,3936
NABIL,942,-0.32,5114
NABIL,943,0.21,5142
NABIL,927,-1.8,5803
NABIL,929,0.22,3337
NABIL,929,0.11,2484
NABIL,930,0,4393
NABIL,931,0.11,5113
NABIL,938,0.75,1925
NABIL,953,1.6,1245
NABIL,953,0,193
NABIL,951,-0.21,1928
NABIL,960,0.95,2006
NABIL,962,0.21,3191
NABIL,956,-0.62,1044
NABIL,942,-1.46,2511
NABIL,940,-0.21,2862
NABIL,940,0,1768
NABIL,952,1.28,2427
NABIL,946,-0.63,1572
NABIL,940,-0.63,2099
NABIL,938,-0.21,2736
NABIL,919,0,4373
NABIL,926,0.76,7548
NABIL,916,-1.19,3113
NABIL,918,0.11,2568
NABIL,902,-1.64,760
NABIL,906,0.44,3991
NABIL,900,-0.66,4595
NABIL,898,-0.26,3792
NABIL,888,-1.2,5967
NABIL,889,0.05,4029
NABIL,889,0,5451
NABIL,882,-0.79,3294
NABIL,865,-1.94,4594
NABIL,863,-0.23,3135
NABIL,860,-0.35,13920
NABIL,850,-0.12,6099
NABIL,852,0.24,4171
NABIL,853,0.12,8181
NABIL,855,0.23,3869
NABIL,851,-0.47,3175
NABIL,847,-0.47,4879
NABIL,853,0.71,9410
NABIL,862,1.06,2512
NABIL,858,-0.46,5028
NABIL,850,-0.93,7082
NABIL,851,0.12,3393
NABIL,870,2.23,8974
NABIL,868,-0.23,5253
NABIL,862,-0.69,1588
NABIL,864,0.23,7037
NABIL,865,0.12,6193
NABIL,866,0.12,4130
NABIL,860,-0.69,7285
NABIL,851,-1.05,5002
NABIL,850,-0.12,5122
NABIL,841,-1.06,9928
NABIL,837,-0.48,7310
NABIL,837,0.24,3971
NABIL,834,-0.36,4380
NABIL,835,0.12,5480
NABIL,838,0.36,3132
NABIL,836,-0.24,4045
NABIL,842,0.72,2708
NABIL,845,0.36,2960
NABIL,844,-0.12,2128
NABIL,850,0.71,2650
NABIL,843,-0.82,3420
NABIL,842,-0.12,1670
NABIL,838,-0.48,4189
NABIL,840,0.24,2567
NABIL,838,-0.24,3910
NABIL,834,-0.48,2227
NABIL,830,-0.48,6286
NABIL,837,0.84,3605
NABIL,841,0.48,4408
NABIL,841,0,4165
NABIL,829,-1.43,5154
NABIL,830,0.12,2150
NABIL,828,-0.24,3267
NABIL,831,0.36,3757
NABIL,824,-0.84,2399
NABIL,825,0.12,3879
NABIL,825,0,2448
NABIL,822,-0.36,3151
NABIL,818,-0.49,2494
NABIL,807,-1.34,6470
NABIL,783,-2.97,29718
NABIL,793,1.28,7663
NABIL,789,-0.5,9080
NABIL,803,1.77,17561
NABIL,795,-1,15486
NABIL,794,-0.13,31622
NABIL,687,-3.09,9887
NABIL,687,0,4794
NABIL,682,-0.73,8715
NABIL,683,0.15,6279
NABIL,686,0.44,10200
NABIL,688,0.29,7555
NABIL,690,0.29,1672
NABIL,690,0.29,1672
NABIL,696,0.72,16082
NABIL,719,3.3,12424
NABIL,715,-0.69,11208
NABIL,715,0,3812
NABIL,722,0.98,9881
NABIL,722,0,9174
NABIL,723,0.14,1020
NABIL,710,-1.8,8927
NABIL,712,0.28,5859
NABIL,712,0,7028
NABIL,712,0,3898
NABIL,709,-0.42,9163
NABIL,714,0.71,5004
NABIL,712,-0.28,7019
NABIL,712,0,11973
NABIL,717,0.7,15403
NABIL,724,0.98,14196
NABIL,727,0.41,8188
NABIL,732,0.69,23725
NABIL,740,1.09,23599
NABIL,743,0.41,12325
NABIL,740,-0.4,8232
NABIL,736,-0.54,7882
NABIL,746,1.36,3377
NABIL,766,2.68,6057
NABIL,773,0.91,11183
NABIL,810,4.79,15287
NABIL,866,6.91,28899
NABIL,880,1.62,29675
NABIL,881,0.11,15000
NABIL,878,-0.34,6811
NABIL,880,0.23,9441
NABIL,873,-0.8,9506
NABIL,868,-0.57,8403
NABIL,856,-1.38,7584
NABIL,847,-1.05,6201
NABIL,835,-1.42,9479
NABIL,851,1.92,8355
NABIL,850,-0.12,8243
NABIL,846,-0.47,7578
NABIL,841,-0.59,2950
NABIL,841,0,3539
NABIL,844,0.36,2652
NABIL,848,0.47,3614
NABIL,851,0.35,5163
NABIL,845,-0.71,6365
NABIL,843,-0.24,6356
NABIL,830,-1.54,5507
NABIL,840,1.2,4169
NABIL,841,0.12,1981
NABIL,841,0,5508
NABIL,840,-0.12,5463
NABIL,840,0,2539
NABIL,836,-0.48,2822
NABIL,840,0.48,3151
NABIL,847,0.83,9146
NABIL,834,-1.53,6077
NABIL,833,-0.12,2874
NABIL,829,-0.48,3935
NABIL,828,-0.12,4877
NABIL,826,-0.24,4518
NABIL,822,-0.48,8030
NABIL,820,-0.24,8943
NABIL,827,0.85,9849
NABIL,814,-1.57,13511
NABIL,816,0.25,10347
NABIL,814,-0.25,8230
NABIL,814,0,3158
NABIL,812,-0.25,4301
NABIL,805,-0.86,5595
NABIL,808,0.37,3446
NABIL,810,0.25,4883
NABIL,804,-0.74,7826
NABIL,800,-0.5,12955
NABIL,785,-1.87,28406
NABIL,785,0,8539
NABIL,784,-0.13,9500
NABIL,795,1.4,7949
NABIL,798,0.38,10401
NABIL,790,-1,6481
NABIL,787,-0.38,4253
NABIL,806,2.41,11678
NABIL,811,0.62,9931
NABIL,823,1.48,8966
NABIL,825,0.24,3781
NABIL,799,-3.15,30861
NABIL,800,0.13,25920
NABIL,813,1.62,17512
NABIL,812,-0.12,15304
NABIL,801,-1.35,19195
NABIL,805,0.5,19698
NABIL,808,0.37,13387
NABIL,812,0.5,17884
NABIL,805,-0.86,11336
NABIL,797,-0.99,17431
NABIL,803,0.75,10970
NABIL,801,-0.25,10926
NABIL,800,-0.12,9199
NABIL,801,0.12,11281
NABIL,799,-0.25,11095
NABIL,800,0.13,9946
NABIL,790,-1.25,13321
NABIL,790,0,9174
NABIL,790,0,10432
NABIL,784,-0.76,9920
NABIL,783,-0.13,5650
NABIL,782,-0.13,6190
NABIL,779,-0.38,11640
NABIL,784,0.64,13055
NABIL,779,-0.64,12387
NABIL,778,-0.13,10297
NABIL,778,0,12518
NABIL,778,0,13659
NABIL,777,-0.13,7473
NABIL,776,-0.13,7386
NABIL,775,-0.13,23330
NABIL,778,0.39,5949
NABIL,770,-1.03,4274
NABIL,770,0,9213
NABIL,769,-0.13,9261
NABIL,758,-1.43,6969
NABIL,774,2.11,8894
NABIL,777,0.39,15241
NABIL,780,0.39,8861
NABIL,776,-0.51,9562
NABIL,776,0,4931
NABIL,769,-0.9,7569
NABIL,772,0.39,4673
NABIL,770,-0.26,10514
NABIL,759,-1.43,6359
NABIL,742,-2.24,10591
NABIL,750,1.08,10137
NABIL,775,3.33,7924
NABIL,770,-0.65,13287
NABIL,765,-0.65,7591
NABIL,760,-0.65,6194
NABIL,760,0,7998
NABIL,759,0,3989
NABIL,752,-0.92,3598
NABIL,760,1.06,4706
NABIL,772,1.58,2719
NABIL,772,0,4486
NABIL,769,-0.39,5226
NABIL,770,0.13,728
NABIL,765,-0.65,16518
NABIL,763,-0.26,4973
NABIL,762,-0.13,4902
NABIL,760,-0.26,8157
NABIL,757,-0.39,4145
NABIL,758,0.13,6056
NABIL,756,-0.26,17493
NABIL,762,0.79,3122
NABIL,768,0.79,8808
NABIL,761,-0.91,6352
NABIL,760,-0.13,8041
NABIL,768,1.05,25965
NABIL,770,0.26,16182
NABIL,768,-0.26,13493
NABIL,755,-1.69,23312
NABIL,755,0,10153
NABIL,753,-0.26,15505
NABIL,750,-0.4,21447
NABIL,750,0,6681
NABIL,749,-0.13,3797
NABIL,755,0.8,7383
NABIL,755,0,23592
NABIL,753,-0.26,18207
NABIL,750,-0.4,29088
NABIL,740,-1.33,7681
NABIL,730,-1.35,12391
NABIL,727,-0.41,10567
NABIL,730,0.41,8682
NABIL,732,0.27,18463
NABIL,725,-0.96,15634
NABIL,723,-0.28,24232
NABIL,725,0.28,6572
NABIL,725,0,9589
NABIL,725,0,9772
NABIL,730,0.69,13130
NABIL,729,-0.14,11013
NABIL,736,0.96,5466
NABIL,743,0.95,4466
NABIL,747,0.54,8847
NABIL,749,0.27,16206
NABIL,752,0.4,9306
NABIL,737,-0.94,11742
NABIL,743,0.81,9416
NABIL,748,0.67,15298
NABIL,753,0.67,15015
NABIL,756,0.4,34362
NABIL,750,-0.79,66023
NABIL,667,-0.39,22863
NABIL,669,0.3,12220
NABIL,676,1.05,14538
NABIL,674,-0.3,14830
NABIL,675,0.15,17063
NABIL,681,0.89,15116
NABIL,690,1.32,10882
NABIL,685,-0.72,20018
NABIL,697,1.75,17152
NABIL,713,2.29,23487
NABIL,722,1.26,24397
NABIL,721,-0.14,17879
NABIL,716,-0.69,9624
NABIL,726,1.4,30359
NABIL,730,0.55,40571
NABIL,730,0,12535
NABIL,740,1.37,11175
NABIL,751,1.49,26914
NABIL,764,1.73,22863
NABIL,760,-0.52,25306
NABIL,755,-0.79,18428
NABIL,745,-1.32,12755
NABIL,727,-2.42,19663
NABIL,710,-2.34,20742
NABIL,720,1.12,17628
NABIL,725,0.69,15203
NABIL,724,-0.14,10541
NABIL,736,1.66,14728
NABIL,752,2.17,37634
NABIL,738,-1.86,33172
NABIL,739,0.14,27241
NABIL,734,-0.68,20827
NABIL,726,-1.09,15362
NABIL,721,-0.69,18422
NABIL,720,-0.14,23380
NABIL,723,0.42,27491
NABIL,722,-0.14,11735
NABIL,723,0.14,16258
NABIL,724,0.14,17985
NABIL,750,3.59,51893
NABIL,753,0.4,47604
NABIL,751,-0.27,23379
NABIL,755,0.53,21585
NABIL,790,4.64,65129
NABIL,800,1.27,93540
NABIL,814,1.75,37640
NABIL,870,6.88,83212
NABIL,955,9.77,167082
NABIL,940,-1.57,163043
NABIL,850,-9.57,68203
NABIL,888,4.47,150206
NABIL,847,-4.62,107177
NABIL,840,-0.83,78904
NABIL,776,-7.62,60824
NABIL,815,5.03,83501
NABIL,790,-3.07,65403
NABIL,750,-5.06,70304
NABIL,750,0,55501
NABIL,731,-2.53,46620
NABIL,715,-2.19,43091
NABIL,730,2.1,55806
NABIL,701,-3.97,15101
NABIL,680,-3,2295
NABIL,660,-2.94,435
NABIL,660,0,40720
NABIL,725,9.85,8769
NABIL,770,6.21,15536
NABIL,720,-6.49,21024
NABIL,729,1.25,59244
NABIL,737,1.1,32963
NABIL,744,0.95,41752
NABIL,741,-0.4,30143
NABIL,742,0.13,30119
NABIL,747,0.67,27529
NABIL,742,-0.67,28339
NABIL,745,0.4,29973
NABIL,765,2.68,43439
NABIL,790,3.27,38787
NABIL,869,10,711
NABIL,879,1.15,118430
NABIL,865,-1.59,69536
NABIL,846,-2.2,51597
NABIL,850,0.47,55386
NABIL,861,1.29,58534
NABIL,862,0.12,101044
NABIL,854,-0.93,51916
NABIL,845,-1.05,45527
NABIL,851,0.71,41463
NABIL,820,-3.64,63388
NABIL,824,0.49,42609
NABIL,824,0,47216
NABIL,814,-1.21,21551
NABIL,813,-0.12,36927
NABIL,832,2.34,47830
NABIL,830,-0.24,29776
NABIL,836,0.72,23975
NABIL,825,-1.32,36200
NABIL,822,-0.36,29088
NABIL,822,0,16623
NABIL,830,0.97,20561
NABIL,822,-0.96,17216
NABIL,817,-0.61,10175
NABIL,824,0.86,14020
NABIL,830,0.73,22795
NABIL,830,0,23396
NABIL,841,1.33,44021
NABIL,845,0.48,23000
NABIL,839,-0.71,11698
NABIL,839,0,49117
NABIL,858,2.26,68044
NABIL,860,0.23,54696
NABIL,855,-0.58,56147
NABIL,849,-0.7,19865
NABIL,846,-0.35,21968
NABIL,844,-0.24,36262
NABIL,845,0.12,26342
NABIL,849,0.47,32114
NABIL,856,0.82,32379
NABIL,856,0,28117
NABIL,853,-0.35,15690
NABIL,859,0.7,30609
NABIL,880,2.44,72747
NABIL,883,0.34,61628
NABIL,872,-1.25,51322
NABIL,874,0.23,30912
NABIL,875,0.11,23476
NABIL,874,-0.11,23447
NABIL,871,-0.34,17676
NABIL,864,-0.8,20446
NABIL,859,-0.58,22250
NABIL,867,0.93,30640
NABIL,880,1.5,52437
NABIL,876,-0.45,22147
NABIL,877,0.11,16257
NABIL,872,-0.57,26029
NABIL,869,-0.34,27048
NABIL,866,-0.35,24647
NABIL,864,-0.23,19390
NABIL,864,0,15218
NABIL,860,-0.46,29183
NABIL,860,0,25564
NABIL,859,-0.12,18801
NABIL,863,0.47,11214
NABIL,868,0.58,11628
NABIL,880,1.38,30592
NABIL,885,0.57,46895
NABIL,903,2.03,59283
NABIL,902,-0.11,51398
NABIL,894,-0.89,40311
NABIL,886,-0.89,29989
NABIL,888,0.23,15950
NABIL,888,0,20507
NABIL,880,-0.9,34927
NABIL,870,-1.14,72463
NABIL,862,-0.92,90972
NABIL,879,1.97,29034
NABIL,883,0.46,41751
NABIL,887,--,30444
NABIL,901,0,61321
NABIL,905,0,94311
NABIL,965,0.07,223043
NABIL,978,0.01,75761
NABIL,972,-0.01,58491
NABIL,1025,0.05,232466
NABIL,1130,0.09,343732
NABIL,1185,0.05,283683
NABIL,1159,-0.02,196359
NABIL,1119,-0.03,177245
